"morphology","valid start year","valid end year","start year","end year","same primary"
"9982/3","2001",,"2001",,"9989/3"
"9982/3","2001",,"2001","2009","9987/3"
"9982/3","2001",,"2010",,"9991/3"
"9982/3","2001",,"2010",,"9992/3"
"9982/3","2001",,"2021",,"9993/3"
"9680/3","1978",,"2001",,"9590/3"
"9680/3","1978",,"2001",,"9591/3"
"9680/3","1978",,"2001","2009","9596/3"
"9680/3","1978",,"2001","2009","9670/3"
"9680/3","1978",,"2001","2009","9671/3"
"9680/3","1978",,"2001","2009","9675/3"
"9680/3","1978",,"2001","2009","9678/3"
"9680/3","1978",,"2001","2009","9679/3"
"9680/3","1978",,"2001",,"9684/3"
"9680/3","1978",,"2001","2009","9687/3"
"9680/3","1978",,"2001","2009","9690/3"
"9680/3","1978",,"2001","2009","9691/3"
"9680/3","1978",,"2001","2009","9695/3"
"9680/3","1978",,"2001","2009","9698/3"
"9680/3","1978",,"2010",,"9737/3"
"9680/3","1978",,"2001","2009","9760/3"
"9680/3","1978",,"2001","2009","9761/3"
"9680/3","1978",,"2001","2009","9762/3"
"9680/3","1978",,"2001","2009","9764/3"
"9680/3","1978",,"2001","2009","9805/3"
"9680/3","1978",,"2001","2009","9820/3"
"9680/3","1978",,"2001","2009","9823/3"
"9680/3","1978",,"2001","2009","9832/3"
"9680/3","1978",,"2001","2009","9833/3"
"9983/3","2001",,"2001",,"9800/3"
"9983/3","2001",,"2001","2009","9801/3"
"9983/3","2001",,"2001","2009","9805/3"
"9983/3","2001",,"2001","2009","9840/3"
"9983/3","2001",,"2001","2009","9860/3"
"9983/3","2001",,"2001","2009","9861/3"
"9983/3","2001",,"2001","2009","9863/3"
"9983/3","2001",,"2001","2009","9866/3"
"9983/3","2001",,"2001","2009","9867/3"
"9983/3","2001",,"2001","2009","9870/3"
"9983/3","2001",,"2001","2009","9871/3"
"9983/3","2001",,"2001","2009","9872/3"
"9983/3","2001",,"2001","2009","9873/3"
"9983/3","2001",,"2001","2009","9874/3"
"9983/3","2001",,"2001","2009","9875/3"
"9983/3","2001",,"2001","2009","9876/3"
"9983/3","2001",,"2001","2009","9891/3"
"9983/3","2001",,"2001","2009","9895/3"
"9983/3","2001",,"2001","2009","9896/3"
"9983/3","2001",,"2001","2009","9897/3"
"9983/3","2001",,"2001","2009","9910/3"
"9983/3","2001",,"2001","2009","9920/3"
"9983/3","2001",,"2001","2009","9930/3"
"9983/3","2001",,"2001","2009","9931/3"
"9983/3","2001",,"2001","2009","9945/3"
"9983/3","2001",,"2001","2009","9946/3"
"9983/3","2001",,"2001","2009","9961/3"
"9983/3","2001",,"2001",,"9980/3"
"9983/3","2001",,"2001",,"9982/3"
"9983/3","2001",,"2001",,"9984/3"
"9983/3","2001",,"2001",,"9985/3"
"9983/3","2001",,"2001",,"9986/3"
"9983/3","2001",,"2001","2009","9987/3"
"9983/3","2001",,"2001",,"9989/3"
"9983/3","2001",,"2010",,"9991/3"
"9983/3","2001",,"2010",,"9992/3"
"9983/3","2001",,"2021",,"9993/3"
"9700/3","2001",,"2001",,"9590/3"
"9700/3","2001",,"2001",,"9591/3"
"9700/3","2001",,"2001","2009","9596/3"
"9700/3","2001",,"2001",,"9701/3"
"9700/3","2001",,"2001","2009","9805/3"
"9700/3","2001",,"2001","2009","9820/3"
"9651/3","1978",,"2001",,"9590/3"
"9651/3","1978",,"2001","2009","9596/3"
"9651/3","1978",,"2001",,"9650/3"
"9651/3","1978",,"2001",,"9652/3"
"9651/3","1978",,"2001",,"9653/3"
"9651/3","1978",,"2001",,"9654/3"
"9651/3","1978",,"2001",,"9655/3"
"9651/3","1978",,"2001",,"9659/3"
"9651/3","1978",,"2001",,"9661/3"
"9651/3","1978",,"2001",,"9662/3"
"9651/3","1978",,"2001",,"9663/3"
"9651/3","1978",,"2001",,"9664/3"
"9651/3","1978",,"2001",,"9665/3"
"9651/3","1978",,"2001",,"9667/3"
"9652/3","2001",,"2001",,"9590/3"
"9652/3","2001",,"2001","2009","9596/3"
"9652/3","2001",,"2001",,"9650/3"
"9652/3","2001",,"2001",,"9651/3"
"9652/3","2001",,"2001",,"9653/3"
"9652/3","2001",,"2001",,"9654/3"
"9652/3","2001",,"2001",,"9655/3"
"9652/3","2001",,"2001",,"9659/3"
"9652/3","2001",,"2001",,"9661/3"
"9652/3","2001",,"2001",,"9662/3"
"9652/3","2001",,"2001",,"9663/3"
"9652/3","2001",,"2001",,"9664/3"
"9652/3","2001",,"2001",,"9665/3"
"9652/3","2001",,"2001",,"9667/3"
